Vendor Name,Service Provided,Tier,Data Accessed,Last Assessment Date,Composite Score,Risk Rating,Certification Held,Next Review Date,Status
AWS,Cloud infrastructure hosting,Tier 1 - Critical,"All customer/business data (infrastructure level)",2026-03-15,91,Low Risk,SOC 2 Type II + ISO 27001,2027-03-15,Active - Compliant
Payment Gateway Processor,Payment processing and settlement,Tier 1 - Critical,"Bank account details, transaction data",2026-02-10,88,Low Risk,PCI DSS Level 1,2027-02-10,Active - Compliant
VerifyID Pvt Ltd (KYC Vendor),Identity verification / KYC document processing,Tier 1 - Critical,"PAN, Aadhaar-linked ID, address proof",2026-08-01,74,Medium Risk,None (in progress),2026-11-01,Active - Remediation Plan In Progress
Salesforce (CRM),Customer relationship management,Tier 2 - High,"Name, contact details, support history",2025-11-20,82,Low Risk,SOC 2 Type II + ISO 27001,2027-05-20,Active - Compliant
Darwinbox (HRMS),HR and payroll management,Tier 2 - High,"Employee PII, bank account, salary",2025-09-05,79,Medium Risk,ISO 27001,2027-03-05,Active - Compliant
Email/SMS Gateway Provider,Transactional and marketing communications,Tier 2 - High,"Name, phone, email",Never Assessed,N/A,Not Yet Assessed,N/A,2026-10-15,Retrospective Assessment Required
Fraud Detection Analytics Tool,In-house augmented fraud scoring support,Tier 2 - High,"Transaction patterns, device fingerprint",2025-12-01,71,Medium Risk,None,2026-12-01,Active - Monitoring
Web Analytics Platform,Website usage analytics,Tier 3 - Medium,"IP address, device ID (aggregated)",2025-07-10,80,Low Risk,ISO 27001,2027-07-10,Active - Compliant
Accounting Software (SaaS),Financial accounting and bookkeeping,Tier 3 - Medium,"Company financial data, no customer PII",2025-06-15,85,Low Risk,SOC 2 Type I,2027-06-15,Active - Compliant
Project Management Tool (SaaS),Internal project tracking,Tier 3 - Medium,"No customer data; internal task metadata",Never Assessed,N/A,Not Yet Assessed,N/A,2026-10-15,Retrospective Assessment Required
Legal Document Vendor (e-signature),Digital signature for loan agreements,Tier 2 - High,"Name, signature, loan agreement content",2025-10-01,77,Medium Risk,ISO 27001,2027-04-01,Active - Compliant
Office Facilities/IT Hardware Vendor,Office supplies and hardware procurement,Tier 4 - Low,"No data access",N/A - Not Required,N/A,Not Assessed (Not Required),N/A,N/A,Active - No Assessment Required Per Tiering Policy
