Risk ID,Asset,Threat,Vulnerability,Likelihood (1-5),Impact (1-5),Risk Score,Risk Band,Treatment Decision,Mapped Annex A Control(s),Treatment Action,Owner,Target Date,Residual Likelihood,Residual Impact,Residual Score,Status
R-001,AWS IAM root/admin accounts,Compromised admin credentials leading to full environment takeover,No mandatory MFA enforced on all privileged accounts,4,5,20,Critical,Mitigate,"A.5.15, A.5.17, A.8.5",Enforce MFA on all IAM privileged accounts; implement break-glass procedure with logging,Head of Infrastructure,2026-09-30,2,5,10,In Progress
R-002,Customer KYC document store (S3),Unauthorized access to KYC documents due to misconfigured bucket policy,S3 bucket permissions not centrally reviewed; no automated drift detection,3,5,15,High,Mitigate,"A.8.9, A.8.10, A.5.23",Implement AWS Config rules + quarterly access review of all S3 buckets holding PII,Cloud Security Lead,2026-10-15,2,5,10,In Progress
R-003,Payment gateway integration layer,Man-in-the-middle attack on payment data in transit,TLS configuration not independently verified on all internal service-to-service calls,2,5,10,High,Mitigate,"A.8.24, A.8.20",Enforce TLS 1.2+ across all internal service mesh traffic; automate cert rotation,Engineering Lead - Payments,2026-11-01,1,5,5,Not Started
R-004,Employee laptops (endpoints),Malware/ransomware via phishing leading to data exfiltration,No centrally managed EDR solution deployed fleet-wide,4,4,16,Critical,Mitigate,"A.8.7, A.8.16, A.6.3",Deploy EDR across all corporate endpoints; mandatory security awareness training,IT Manager,2026-09-15,2,4,8,In Progress
R-005,Third-party KYC vendor,Vendor data breach exposing ExampleOrg customer identity data,No formal vendor security assessment conducted prior to onboarding,3,5,15,High,Mitigate,"A.5.19, A.5.20, A.5.22",Conduct retrospective vendor risk assessment; add breach notification clause to DPA,Head of GRC,2026-10-01,2,5,10,In Progress
R-006,Employee offboarding process,Former employee retains system access after termination,Access revocation not automated; relies on manual HR-to-IT handoff,3,4,12,High,Mitigate,"A.5.16, A.5.18, A.6.5",Integrate Darwinbox HRMS with IAM for automated access deprovisioning,IT Manager,2026-10-30,1,4,4,Not Started
R-007,Production database backups,Backup data exposed due to lack of encryption at rest,Some legacy backup snapshots predate encryption-by-default policy,2,4,8,Medium,Mitigate,"A.8.24, A.8.10",Audit and re-encrypt all legacy backup snapshots; enforce encryption in backup policy,Cloud Security Lead,2026-11-15,1,4,4,Not Started
R-008,Source code repository (GitHub),Secrets/API keys committed to code accidentally,No automated secret-scanning enabled on private repos,3,4,12,High,Mitigate,A.8.28,Enable GitHub secret scanning + pre-commit hooks across all repos,Engineering Manager,2026-09-20,1,4,4,Not Started
R-009,Customer support access to CRM,Support agent views/exports customer data beyond job need,Role-based access control not granular; broad access granted by default,3,3,9,Medium,Mitigate,"A.5.15, A.8.2",Implement least-privilege RBAC roles in Salesforce; quarterly access recertification,Head of Customer Support,2026-11-30,2,3,6,Not Started
R-010,Cloud infrastructure billing/config account,Accidental public exposure of internal dashboards or admin panels,No periodic external attack surface scan performed,3,4,12,High,Mitigate,"A.8.9, A.5.7",Implement quarterly external attack surface scanning (ASM tool),Cloud Security Lead,2026-10-15,2,4,8,In Progress
R-011,Incident response process,Delayed breach detection and regulatory notification (RBI/DPDP timelines missed),No formal incident response plan or defined escalation path exists,4,5,20,Critical,Mitigate,"A.5.24, A.5.25, A.5.26, A.5.27",Formalize and approve Incident Response Policy; run tabletop exercise,Head of GRC,2026-09-30,2,5,10,In Progress
R-012,Business continuity for lending platform,Extended platform outage during regional AWS disruption,No documented BCP/DR plan or tested failover procedure,3,4,12,High,Mitigate,"A.5.29, A.5.30",Draft BCP with defined RTO/RPO; conduct annual DR test,Head of Infrastructure,2026-12-01,2,4,8,Not Started
R-013,Employee personal devices (BYOD for email access),Data leakage via unmanaged personal devices accessing corporate email,No Mobile Device Management (MDM) policy enforced,3,3,9,Medium,Mitigate,"A.8.1, A.6.7",Deploy MDM with conditional access policy for mobile email,IT Manager,2027-01-15,1,3,3,Not Started
R-014,Vendor contract data retention terms,KYC vendor retains customer data beyond contractual/legal requirement,Data retention/deletion clause not explicitly defined in existing contracts,2,4,8,Medium,Mitigate,"A.5.20, A.5.34",Renegotiate vendor DPA to include explicit retention and deletion SLA,Head of GRC,2026-12-15,1,4,4,Not Started
R-015,Physical security of office premises,Unauthorized visitor access to office housing employee workstations,Visitor management process is informal (sign-in register only, no badge escort),2,2,4,Low,Accept,A.7.2,"Formally accept residual risk; low-impact given cloud-only data storage, no on-prem servers",Head of GRC,N/A,2,2,4,Accepted
