Req ID,Requirement Area,DPDP Act Reference,Current State at ExampleOrg,Compliance Rating,Data Sensitivity,Priority,Remediation Action,Owner,Target Date
DP-01,Purpose-specific, itemized consent capture,Section 6,Single broad checkbox consent at signup; not itemized by purpose,Non-Compliant,High,P1,Implement a consent management layer capturing granular purpose-specific consent (loan processing / marketing / analytics separately),Product + GRC,2026-10-31
DP-02,Clear and specific notice at collection,Section 5,Privacy notice exists but is a generic legal document not shown contextually at point of collection,Partially Compliant,High,P2,Redesign notice to show itemized, plain-language purpose statements at each data collection point,Product + Legal,2026-11-15
DP-03,Consent withdrawal mechanism,Section 6(3),No self-service way for customers to withdraw marketing consent; requires manual support request,Non-Compliant,Medium,P2,Build self-service consent withdrawal in customer app/portal,Product,2026-12-15
DP-04,Data Principal right to access,Section 11,No formal process; ad hoc handling via customer support if requested,Non-Compliant,High,P1,Define and document a formal Data Principal Rights request process with defined SLA,GRC + Customer Support,2026-10-15
DP-05,Data Principal right to correction and erasure,Section 12,Correction possible informally via support; erasure not currently supported operationally,Non-Compliant,High,P1,Build operational workflow to fulfill correction/erasure requests within statutory timelines, factoring in RBI 7-year retention conflicts,Engineering + GRC,2026-12-31
DP-06,Right to grievance redressal,Section 13,No designated grievance officer or published grievance process,Non-Compliant,Medium,P2,Appoint Grievance Officer; publish grievance redressal process and contact details,GRC + Legal,2026-10-01
DP-07,Right to nominate (in case of death/incapacity),Section 14,Not currently supported in any customer-facing process,Non-Compliant,Low,P3,Add nomination capture field to customer profile once Rules clarify implementation,Product,2027-02-01
DP-08,Data breach notification to Board and Data Principals,Section 8(6),No formal breach notification process or defined timelines exist (see also ISMS Risk R-011),Non-Compliant,High,P1,Formalize breach notification procedure within Incident Response Policy with DPDP-specific timelines,GRC,2026-09-30
DP-09,Reasonable security safeguards,Section 8(5),Strong technical controls exist (encryption, access control) but not formally mapped to DPDP requirement,Partially Compliant,High,P2,Cross-map existing ISO 27001 controls to DPDP Section 8(5) safeguard requirements; document formally,GRC,2026-10-31
DP-10,Data retention limitation,Section 8(7),Retention periods defined for regulatory data (7yr) but no defined deletion process once period lapses,Partially Compliant,Medium,P2,Implement automated data deletion/archival workflow triggered at retention expiry,Engineering,2026-12-01
DP-11,Data accuracy obligation,Section 8(3),No periodic data accuracy verification process; relies on customer self-reporting,Partially Compliant,Low,P3,Introduce periodic prompts for customers to verify/update profile data,Product,2027-01-15
DP-12,Children's data / parental consent,Section 9,Not applicable - ExampleOrg's lending product requires customers to be 18+, verified via KYC,Not Applicable,N/A,N/A,No action required - monitor if product scope changes,GRC,N/A
DP-13,Significant Data Fiduciary obligations (DPIA, audits, DPO),Section 10,Not yet formally assessed whether ExampleOrg meets SDF threshold; no DPO appointed,Non-Compliant,High,P1,Conduct SDF threshold assessment; appoint Data Protection Officer if applicable,GRC + Legal,2026-11-30
DP-14,Data Protection Impact Assessment (DPIA) process,Section 10(2) (if SDF),No DPIA process or template exists for new products/features processing personal data,Partially Compliant,Medium,P2,Create DPIA template and embed into product development lifecycle,GRC + Product,2026-12-15
DP-15,Cross-border data transfer restrictions,Section 16,Analytics vendor may process data outside India; not yet reviewed against any transfer restriction list,Partially Compliant,Medium,P2,Review all vendor data flows for cross-border transfer; confirm compliance once restricted country list (if any) is notified,GRC + Vendor Management,2026-11-01
DP-16,Vendor / data processor agreements reflecting DPDP obligations,Section 8(2),Existing vendor DPAs are generic; do not explicitly reference DPDP obligations,Partially Compliant,High,P2,Update all vendor DPAs (KYC vendor, payment gateway, CRM, HRMS) to include DPDP-specific clauses,Legal + GRC,2026-11-30
DP-17,Employee training on data protection obligations,Section 8(1) (general accountability),Generic security awareness training exists; no DPDP-specific module,Partially Compliant,Low,P3,Add DPDP-specific module to annual security awareness training,GRC + HR,2026-10-31
DP-18,Record of Processing Activities (RoPA) maintenance,General accountability principle,Built as part of this assessment (see data-processing-inventory.csv); not previously maintained,Compliant,Medium,P4,Maintain and update RoPA quarterly as a standing GRC process,GRC,Ongoing
DP-19,Data minimization in collection forms,Section 8(1),Some legacy forms collect more data than currently used (e.g. old marketing form fields),Partially Compliant,Low,P3,Audit all data collection forms and remove fields not tied to an active purpose,Product + GRC,2026-12-31
DP-20,Cookie consent / tracking technology compliance,Section 6 (consent for tracking),Basic cookie banner exists but does not allow granular accept/reject by cookie category,Partially Compliant,Low,P3,Implement categorized cookie consent (essential/analytics/marketing) with reject option,Product,2026-11-15
